feature,value
21x2,4.703918493241839e-07
21x3,1.6265799084130588e-07
21x4,1.8364938670742767e-06
21x5,2.220911407575755e-05
21x6,0.0017058666659833142
21x7,0.0021791586834308406
21x8,0.006297720193995747
21x9,0.011833753507324563
21x10,0.07916004140249404
21x11,0.0941553250919626
21x12,0.03157422177202888
21x13,0.02370494287139699
21x14,0.05214847356845822
21x15,0.024105358053990996
21x16,0.005102875911306806
21x17,0.0037713486997345133
21x18,0.01397247705954338
21x19,0.012888221788866464
21x20,0.049166449038862865
21x21,0.00035334844353446574
21x22,0.002267126714240406
21x23,0.0008216874296048801
21x24,4.2294032519923656e-05
21x25,1.1887253454413542e-05
21x26,1.497026598639194e-06
21x27,1.263425614819601e-06
21x28,1.411804642909668e-07
22x1,1.3016695775084572e-07
22x2,1.5699885784157186e-07
22x3,1.43023715313669e-07
22x4,6.774705311134275e-07
22x5,2.7977585147564253e-05
22x6,0.0002358445852288293
22x7,0.0054235160037931435
22x8,0.008870154532111573
22x9,0.01445307631087404
22x10,0.009280785653477678
22x11,0.0014070062325494833
22x12,0.006552940046108408
22x13,0.0038412241679691493
22x14,0.0044040814045259065
22x15,0.014965045257594215
22x16,0.0036008086657103697
22x17,0.004266800140095993
22x18,0.0009062172705863297
22x19,0.0021549745771397293
22x20,0.02510420982187156
22x21,0.0019217988146345156
22x22,0.00043960802700361047
22x23,2.8334907786743884e-05
22x24,5.091605610845389e-06
22x25,2.9011716470406237e-06
22x26,1.3122021890541102e-07
22x27,1.7013655824690867e-07
22x28,1.4554798044161265e-07
23x1,1.2379576659031873e-07
23x2,9.50443880890389e-08
23x3,1.2824432553073926e-07
23x4,2.627231947507696e-07
23x5,2.9617668298113813e-06
23x6,4.1896406984336985e-05
23x7,0.0005669093496202437
23x8,0.006720488521424134
23x9,0.004574998941299035
23x10,0.0053721325762463535
23x11,0.014074875281974934
23x12,0.013641770282984621
23x13,0.02552226486990021
23x14,0.004593713898598677
23x15,0.003136986057774114
23x16,0.0030283825106626728
23x17,0.003738895086564743
23x18,0.003004612972633739
23x19,0.0022465919105031525
23x20,0.001806125250258123
23x21,0.00011031247681796521
23x22,4.525257776785437e-05
23x23,2.9861751286972507e-06
23x24,1.0188455883566158e-06
23x25,2.791441841074492e-06
23x26,1.4042553807970586e-07
23x27,1.182460501714906e-07
23x28,1.585267012723465e-07
24x1,1.462516299680307e-07
24x2,1.3630392435198832e-07
24x3,1.314106187151963e-07
24x4,1.0069774348924912e-07
24x5,2.2746195159858637e-06
24x6,1.1485648663836485e-05
24x7,4.988144818254367e-05
24x8,0.002888004616663377
24x9,0.0031601424723999853
24x10,0.001228190909504669
24x11,0.003988866692385754
24x12,0.017062601230284104
24x13,0.07632999675245135
24x14,0.018387101351320684
24x15,0.06206540714705538
24x16,0.05141742664325583
24x17,0.016878659655892837
24x18,0.005041522779077391
24x19,0.002710267928132413
24x20,0.00040314903298528816
24x21,7.757347734148091e-05
24x22,3.9583930113335435e-05
24x23,6.36833990699201e-07
24x24,1.6782113324518788e-07
24x25,1.7796211870850454e-07
24x26,2.579441707838576e-07
24x27,1.5951489515223855e-07
24x28,1.4591178752773185e-07
25x1,1.5168995762744644e-07
25x2,1.2652943764014963e-07
25x3,1.2664040080560514e-07
25x4,1.2004594169146324e-07
25x5,1.3991435103470276e-06
25x6,5.808693358314479e-06
25x7,8.16037471387896e-06
25x8,3.479057665093704e-05
25x9,0.0013951805182845134
25x10,0.0013031097383905238
25x11,0.0009009836188910568
25x12,0.001474806276017607
25x13,0.0014835630558725527
25x14,0.014157279777597068
25x15,0.003531913901306814
25x16,0.0003715105532200767
25x17,0.0020042570832360766
25x18,0.0005276226522307905
25x19,0.0007524213381951122
25x20,3.2513433068980076e-05
25x21,3.3737228530515345e-05
25x22,5.738416981552283e-06
25x23,5.675837518683689e-07
25x24,1.6940517912223134e-07
25x25,1.2824576814272301e-07
25x26,2.870102509703611e-07
25x27,1.3607529074066133e-07
25x28,1.9045525957581001e-07
26x1,1.643976517109404e-07
26x2,1.2907773201694613e-07
26x3,1.3016833046003493e-07
26x4,1.5648520621026915e-07
26x5,1.7244087989463912e-07
26x6,1.7203482814006413e-07
26x7,1.0104589231955669e-06
26x8,1.391976377572727e-05
26x9,0.00020680269462493514
